"ARRİVALTİME","AİRLİNE","CONNECTİON","DEPARTURETİME","DURATİON","PRİCE"
"06:00","AJet","Direkt Uçuş","05:25","1sa 35dk","1442.0"
"21:20","AJet","Direkt Uçuş","20:45","1sa 35dk","1442.0"
"13:05","Pegasus","Direkt Uçuş","12:35","1sa 30dk","1548.0"
"06:25","Pegasus","Direkt Uçuş","05:55","1sa 30dk","1564.0"
"08:25","Pegasus","Direkt Uçuş","07:55","1sa 30dk","1564.0"
"10:30","AJet","Direkt Uçuş","09:55","1sa 35dk","1650.0"
"08:25","Pegasus","Direkt Uçuş","07:45","1sa 40dk","1828.0"
"23:40","Pegasus","Direkt Uçuş","23:10","1sa 30dk","2072.0"
"18:35","Pegasus","Direkt Uçuş","17:55","1sa 40dk","2129.0"
"15:00","Pegasus","Direkt Uçuş","14:30","1sa 30dk","2143.0"
"19:35","Pegasus","Direkt Uçuş","19:05","1sa 30dk","2143.0"
"16:35","Pegasus","Direkt Uçuş","16:05","1sa 30dk","2617.0"
"02:20","Türk Hava Yolları","Direkt Uçuş","01:45","1sa 35dk","2629.0"
"08:20","Türk Hava Yolları","Direkt Uçuş","07:45","1sa 35dk","2629.0"
"12:10","Türk Hava Yolları","Direkt Uçuş","11:35","1sa 35dk","2629.0"
"10:30","Türk Hava Yolları","Direkt Uçuş","09:50","1sa 40dk","2629.0"
"15:20","Türk Hava Yolları","Direkt Uçuş","14:40","1sa 40dk","2629.0"
"16:30","Türk Hava Yolları","Direkt Uçuş","15:45","1sa 45dk","2629.0"
"10:05","Pegasus","Direkt Uçuş","09:35","1sa 30dk","2673.0"
"13:30","AJet","Direkt Uçuş","12:55","1sa 35dk","2759.0"
"08:05","AJet","1 Aktarma","18:15","14sa 50dk","2871.0"
"15:40","AJet","1 Aktarma","18:15","22sa 25dk","2871.0"
"18:35","AJet","Direkt Uçuş","18:00","1sa 35dk","3194.0"
"15:40","AJet","1 Aktarma","11:50","4sa 50dk","3206.0"
"19:15","AJet","1 Aktarma","11:50","8sa 25dk","3206.0"
"08:05","AJet","1 Aktarma","11:50","21sa 15dk","3406.0"
"08:05","AJet","1 Aktarma","01:25","7sa 40dk","3506.0"
"15:40","AJet","1 Aktarma","08:00","8sa 40dk","3506.0"
"19:15","AJet","1 Aktarma","08:00","12sa 15dk","3506.0"
"15:40","AJet","1 Aktarma","01:25","15sa 15dk","3506.0"
"19:15","AJet","1 Aktarma","01:25","18sa 50dk","3506.0"
"19:15","AJet","1 Aktarma","18:15","1g 2sa","3556.0"
"08:05","AJet","1 Aktarma","08:00","1g 1sa 5dk","3732.0"
"19:15","AJet","1 Aktarma","14:40","5sa 35dk","3832.0"
"15:40","AJet","1 Aktarma","05:45","10sa 55dk","3832.0"
"19:15","AJet","1 Aktarma","05:45","14sa 30dk","3832.0"
"20:30","Türk Hava Yolları","Direkt Uçuş","19:50","1sa 40dk","3916.0"
"08:05","AJet","1 Aktarma","14:40","18sa 25dk","4032.0"
"15:40","AJet","1 Aktarma","14:40","1g 2sa","4032.0"
"15:40","AJet","1 Aktarma","10:00","6sa 40dk","4132.0"
"19:15","AJet","1 Aktarma","10:00","10sa 15dk","4132.0"
"08:05","AJet","1 Aktarma","10:00","23sa 5dk","4315.0"
"19:10","AJet","1 Aktarma","05:45","14sa 25dk","4886.0"
"19:10","AJet","1 Aktarma","01:10","19sa","4886.0"
"19:10","AJet","1 Aktarma","15:55","4sa 15dk","5375.0"
"19:10","AJet","1 Aktarma","12:45","7sa 25dk","5375.0"
"19:10","AJet","1 Aktarma","09:05","11sa 5dk","5375.0"
"20:05","Türk Hava Yolları","1 Aktarma","13:40","7sa 25dk","5604.0"
"20:05","Türk Hava Yolları","1 Aktarma","12:55","8sa 10dk","6001.0"
"20:05","Türk Hava Yolları","1 Aktarma","15:30","5sa 35dk","6356.0"
"11:30","AJet","1 Aktarma","18:35","17sa 55dk","6363.0"
"19:10","AJet","1 Aktarma","22:20","21sa 50dk","6413.0"
"19:10","AJet","1 Aktarma","19:30","1g 40dk","6413.0"
"11:30","AJet","1 Aktarma","05:25","7sa 5dk","6713.0"
"18:30","AJet","1 Aktarma","05:25","14sa 5dk","6713.0"
"18:30","AJet","1 Aktarma","18:35","1g 55dk","6813.0"
"11:30","AJet","1 Aktarma","20:45","15sa 45dk","6913.0"
"18:30","AJet","1 Aktarma","20:45","22sa 45dk","7427.0"
"20:05","Türk Hava Yolları","1 Aktarma","14:40","6sa 25dk","7639.0"
"08:05","AJet","1 Aktarma","20:35","12sa 30dk","8231.0"
"15:40","AJet","1 Aktarma","20:35","20sa 5dk","8231.0"
"19:15","AJet","1 Aktarma","20:35","23sa 40dk","8949.0"
